t,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.00,-2.23,-96.88,96.47,58.14,0.23,2.19
0.05,-2.23,-96.88,95.02,58.14,0.23,2.19
0.10,-2.23,-96.88,93.31,58.22,0.23,2.26
0.15,-2.32,-96.88,90.95,58.22,0.23,2.26
0.20,-2.56,-96.79,87.97,58.22,0.29,2.26
0.25,-2.40,-96.62,84.71,58.22,0.29,2.34
0.30,-2.32,-96.62,81.82,58.14,0.34,2.34
0.35,-2.23,-96.53,79.19,57.89,0.44,2.34
0.40,-2.23,-96.53,76.30,57.80,1.48,2.34
0.45,-2.23,-96.53,73.41,57.72,2.26,2.34
0.50,-2.23,-96.53,70.51,57.47,2.63,2.34
0.55,-2.23,-96.53,67.71,57.30,2.99,2.34
0.60,-2.15,-96.44,64.99,57.30,3.04,2.34
0.65,-2.15,-96.44,62.19,57.30,3.04,2.42
0.70,-2.15,-96.36,59.57,57.30,3.04,2.42
0.75,-2.15,-95.32,57.03,57.30,2.99,2.42
0.80,-2.15,-92.28,53.87,57.30,2.89,2.42
0.85,-1.26,-87.68,49.53,57.63,2.78,2.42
0.90,0.28,-82.39,44.91,57.38,2.78,2.42
0.95,1.67,-76.84,39.03,57.30,2.73,2.34
1.00,2.56,-71.64,33.15,57.47,2.73,2.34
1.05,3.13,-66.70,27.36,57.38,2.73,2.34
1.10,3.62,-62.27,21.21,57.55,2.73,2.34
1.15,3.94,-58.11,14.97,57.72,2.73,2.34
1.20,3.94,-54.21,9.18,57.72,2.73,2.34
1.25,3.94,-50.48,3.30,57.97,2.73,2.34
1.30,3.94,-46.75,-2.40,58.39,2.73,2.34
1.35,3.94,-43.10,-8.37,59.06,2.73,2.34
1.40,3.86,-39.29,-14.61,59.90,2.73,2.42
1.45,3.62,-35.56,-20.85,60.99,2.73,3.70
1.50,3.37,-31.83,-26.46,62.25,2.73,7.62
1.55,3.37,-28.36,-32.34,63.42,2.68,13.51
1.60,3.29,-25.07,-37.77,63.93,2.26,18.04
1.65,3.29,-21.68,-43.37,63.59,1.90,18.57
1.70,3.29,-18.13,-48.89,63.00,1.79,17.66
1.75,3.29,-14.40,-54.14,62.50,1.90,17.81
